# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 21.13   -5.746E-06   -2.165E-07   -2.693E-06    1.457E-07    3.447E-07 
 21.20   -5.613E-06   -2.221E-07   -2.634E-06    1.526E-07    3.395E-07 
 21.28   -5.491E-06   -2.230E-07   -2.579E-06    1.612E-07    3.378E-07 
 21.35   -5.372E-06   -2.189E-07   -2.529E-06    1.716E-07    3.401E-07 
 21.43   -5.257E-06   -2.095E-07   -2.484E-06    1.836E-07    3.466E-07 
 21.51   -5.147E-06   -1.946E-07   -2.443E-06    1.973E-07    3.575E-07 
 21.58   -5.045E-06   -1.744E-07   -2.406E-06    2.125E-07    3.728E-07 
 21.66   -4.946E-06   -1.493E-07   -2.374E-06    2.291E-07    3.920E-07 
 21.73   -4.850E-06   -1.198E-07   -2.345E-06    2.469E-07    4.148E-07 
 21.81   -4.760E-06   -8.680E-08   -2.320E-06    2.656E-07    4.405E-07 
 21.88   -4.675E-06   -5.147E-08   -2.296E-06    2.848E-07    4.679E-07 
 21.96   -4.589E-06   -1.509E-08   -2.275E-06    3.043E-07    4.962E-07 
 22.03   -4.509E-06    2.093E-08   -2.254E-06    3.235E-07    5.244E-07 
 22.11   -4.427E-06    5.516E-08   -2.233E-06    3.422E-07    5.509E-07 
 22.19   -4.351E-06    8.622E-08   -2.212E-06    3.599E-07    5.741E-07 
 22.26   -4.271E-06    1.128E-07   -2.189E-06    3.762E-07    5.941E-07 
 22.34   -4.192E-06    1.339E-07   -2.164E-06    3.906E-07    6.092E-07 
 22.41   -4.113E-06    1.485E-07   -2.136E-06    4.030E-07    6.183E-07 
 22.49   -4.033E-06    1.561E-07   -2.105E-06    4.128E-07    6.219E-07 
 22.56   -3.951E-06    1.562E-07   -2.071E-06    4.199E-07    6.192E-07 
 22.64   -3.871E-06    1.488E-07   -2.033E-06    4.239E-07    6.101E-07 
 22.71   -3.785E-06    1.343E-07   -1.992E-06    4.248E-07    5.946E-07 
 22.79   -3.703E-06    1.134E-07   -1.947E-06    4.223E-07    5.741E-07 
 22.87   -3.617E-06    8.697E-08   -1.899E-06    4.164E-07    5.490E-07 
 22.94   -3.534E-06    5.638E-08   -1.849E-06    4.070E-07    5.208E-07 
 23.02   -3.451E-06    2.300E-08   -1.797E-06    3.942E-07    4.903E-07 
 23.09   -3.369E-06   -1.170E-08   -1.744E-06    3.781E-07    4.593E-07 
 23.17   -3.287E-06   -4.625E-08   -1.690E-06    3.588E-07    4.284E-07 
 23.24   -3.209E-06   -7.925E-08   -1.636E-06    3.366E-07    3.993E-07 
 23.32   -3.134E-06   -1.094E-07   -1.582E-06    3.118E-07    3.729E-07 
 23.39   -3.062E-06   -1.357E-07   -1.530E-06    2.846E-07    3.503E-07 
 23.47   -2.994E-06   -1.572E-07   -1.479E-06    2.556E-07    3.321E-07 
 23.55   -2.929E-06   -1.732E-07   -1.431E-06    2.251E-07    3.188E-07 
 23.62   -2.868E-06   -1.836E-07   -1.385E-06    1.938E-07    3.107E-07 
 23.70   -2.811E-06   -1.882E-07   -1.342E-06    1.623E-07    3.077E-07 
 23.77   -2.757E-06   -1.874E-07   -1.301E-06    1.311E-07    3.095E-07 
 23.85   -2.707E-06   -1.819E-07   -1.264E-06    1.011E-07    3.153E-07 
 23.92   -2.659E-06   -1.725E-07   -1.229E-06    7.280E-08    3.244E-07 
 24.00   -2.614E-06   -1.600E-07   -1.198E-06    4.698E-08    3.360E-07 
 24.08   -2.571E-06   -1.456E-07   -1.169E-06    2.422E-08    3.489E-07 
 24.15   -2.529E-06   -1.303E-07   -1.143E-06    5.054E-09    3.624E-07 
 24.23   -2.488E-06   -1.150E-07   -1.119E-06   -1.007E-08    3.753E-07 
 24.30   -2.448E-06   -1.008E-07   -1.097E-06   -2.082E-08    3.869E-07 
 24.38   -2.408E-06   -8.849E-08   -1.076E-06   -2.697E-08    3.963E-07 
